images/Image_URL,images/numberOfRatings,images/ratings/contrast,images/ratings/entropy,images/ratings/localContrast,images/ratings/localEntropy,images/ratings/overall,images/ratings/saturation,image_path
https://upload.wikimedia.org/wikipedia/commons/4/44/Ocean_Beach.jpg,1,2.0,3.0,2.0,2.0,3.0,3.0,images/image_0.jpg
https://cdn.stocksnap.io/img-thumbs/960w/ocean-beach_DFLRM1PSYY.jpg,1,3.0,4.0,3.0,4.0,4.0,4.0,images/image_1.jpg
https://cdn.stocksnap.io/img-thumbs/960w/ocean-beach_ZJXS6NHIC1.jpg,1,3.0,3.0,4.0,3.0,3.0,3.0,images/image_2.jpg
https://live.staticflickr.com/5189/5578601453_654d61fb60_b.jpg,1,3.0,2.0,3.0,3.0,,3.0,images/image_3.jpg
https://c0.wallpaperflare.com/preview/430/964/974/ocean-beach-paradise-evening.jpg,1,3.0,3.0,2.0,2.0,,2.0,images/image_4.jpg
https://freerangestock.com/sample/57621/photo.jpg,1,4.0,2.0,3.0,4.0,,4.0,images/image_5.jpg
https://c0.wallpaperflare.com/preview/285/380/55/landscape-photography-of-body-of-water.jpg,2,4.0,4.5,4.0,4.5,,4.5,images/image_6.jpg
https://live.staticflickr.com/7743/17187183040_80d849654d_b.jpg,2,4.0,4.0,3.0,3.5,,4.0,images/image_7.jpg
https://cdn.stocksnap.io/img-thumbs/960w/ocean-beach_FRQYDDRTOD.jpg,2,3.5,3.5,3.5,2.0,,3.0,images/image_8.jpg
https://images.pexels.com/photos/18894171/pexels-photo-18894171/free-photo-of-sea-landscape-sunset-beach.jpeg,2,4.5,4.0,4.0,4.0,,4.0,images/image_9.jpg
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRBan8qhZmkoWXZNj_E5gSixg_b9OWthm3dLtkkR1JAVTcq0Ebyu248xJcgUShgG-NYEbY&usqp=CAU,2,4.5,3.5,3.0,3.0,,3.0,images/image_10.jpg
https://c0.wallpaperflare.com/preview/931/499/665/beach-clouds-coast-environment.jpg,2,4.5,5.0,4.5,4.5,,4.5,images/image_11.jpg
https://freerangestock.com/sample/45963/photo.jpg,2,3.5,4.0,3.5,3.5,,3.5,images/image_12.jpg
https://images.rawpixel.com/image_800/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIyLTA1L3Vwd2s2MjA0OTgzNC13aWtpbWVkaWEtaW1hZ2Utam9iNTcyLTEuanBn.jpg,2,4.0,4.0,3.5,3.5,,3.5,images/image_13.jpg
https://upload.wikimedia.org/wikipedia/commons/5/55/Sunset_at_Ocean_Beach_in_San_Francisco.jpg,2,3.0,3.0,3.0,3.0,,2.5,images/image_14.jpg
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwCViScAmbBvZbU9T8qkPu3AiEzAQ35V3DJA&usqp=CAU,2,4.0,2.5,3.0,2.0,,2.0,images/image_15.jpg
https://live.staticflickr.com/7187/6968550311_c1a21d5986_b.jpg,2,4.5,4.5,4.0,4.0,,4.0,images/image_16.jpg
https://upload.wikimedia.org/wikipedia/commons/5/59/Cliff_House_from_Ocean_Beach.jpg,2,4.5,4.5,4.0,4.0,,4.5,images/image_17.jpg
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQmLcZYyPREZltlg7Uz2PWLE6rRtRR-FZGpXw&usqp=CAU,2,4.5,3.0,2.5,2.5,,2.5,images/image_18.jpg
https://i1.pickpik.com/photos/89/25/171/beach-ocean-preview.jpg,2,4.0,4.0,4.0,3.5,,4.0,images/image_19.jpg
https://cdn.stocksnap.io/img-thumbs/960w/ocean-beach_L5VLVKHMIK.jpg,1,5.0,5.0,5.0,5.0,,5.0,images/image_20.jpg
https://c0.wallpaperflare.com/preview/666/754/485/sunset-dusk-evening-dawn.jpg,1,5.0,5.0,5.0,5.0,,5.0,images/image_21.jpg
https://images.rawpixel.com/image_800/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIyLTA1L3Vwd2s2MTkyMTIxOS13aWtpbWVkaWEtaW1hZ2Uta293ZTc1NmMuanBn.jpg,1,5.0,1.0,3.0,1.0,,3.0,images/image_22.jpg
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSWyAzkZb90V4dsYqSHvXR9Ywx10z0iWRBgTQ&usqp=CAU,1,5.0,1.0,1.0,2.0,,5.0,images/image_23.jpg
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQzwGLRJdhn_bz40qwFIgNg8igoG_roHoGOw&usqp=CAU,1,2.0,2.0,2.0,2.0,,2.0,images/image_24.jpg
https://freerangestock.com/sample/47545/photo.jpg,1,4.0,3.0,4.0,3.0,,3.0,images/image_25.jpg
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDq0ToVj3IkPIOzTIzHLjul1LpczsXNpplPg&usqp=CAU,1,2.0,1.0,1.0,1.0,,4.0,images/image_26.jpg
https://i1.pickpik.com/photos/682/354/383/seashell-shell-shells-sea-preview.jpg,1,3.0,2.0,2.0,1.0,,4.0,images/image_27.jpg
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSLWtimiZlY9atvfne7_3b4aSMZWUUqffKmBQ&usqp=CAU,1,2.0,1.0,1.0,1.0,,3.0,images/image_28.jpg
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSiM3hhftTI--5W3hodppluRJBQ79ztxgBrFw&usqp=CAU,1,1.0,1.0,1.0,1.0,,4.0,images/image_29.jpg
https://pd.w.org/2023/03/217642050f1d82d90.08463454.jpg,1,4.0,4.0,3.0,2.0,,4.0,images/image_30.jpg
https://upload.wikimedia.org/wikipedia/commons/6/61/Ocean_Beach%2C_Early_Morning.jpg,2,4.5,4.5,4.5,4.0,,4.5,images/image_31.jpg
https://live.staticflickr.com/3307/3627453311_6232592731_b.jpg,2,3.0,3.5,3.0,3.0,,4.0,images/image_32.jpg
https://cdn.stocksnap.io/img-thumbs/960w/ocean-beach_PXSEMVUM9W.jpg,1,4.0,4.0,3.0,3.0,,4.0,images/image_33.jpg
https://c1.wallpaperflare.com/preview/909/897/129/ocean-beach-shore-horizon.jpg,1,5.0,5.0,4.0,4.0,,5.0,images/image_34.jpg
https://images.rawpixel.com/image_800/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIyLTA1L2lzMTQxNTYtaW1hZ2Uta3d2eWhvc3ouanBn.jpg,1,4.0,3.0,3.0,2.0,,5.0,images/image_35.jpg
https://st3.depositphotos.com/29840012/31913/i/1600/depositphotos_319132002-stock-photo-beautiful-sunset-ocean-beach.jpg,1,4.0,5.0,4.0,4.0,,2.0,images/image_36.jpg
https://pd.w.org/2022/06/595629a26dabbc767.51674132.jpg,1,5.0,5.0,5.0,4.0,,4.0,images/image_37.jpg
https://freerangestock.com/sample/68304/photo.jpg,1,3.0,2.0,2.0,2.0,,4.0,images/image_38.jpg
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLeD1W5eGPpJWOXt5rRnDqMSn_x1tQQ-F83Q&usqp=CAU,1,1.0,1.0,1.0,1.0,,3.0,images/image_39.jpg
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHbyQUhuES0ligyma9E46YFJTsiN6he3hKxQ&usqp=CAU,1,1.0,1.0,1.0,1.0,,3.0,images/image_40.jpg
https://images.rawpixel.com/image_800/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIyLTA1L3B4MTAzMzI4NC1pbWFnZS1rd3Z5ODI4eS5qcGc.jpg,1,5.0,5.0,4.0,4.0,,2.0,images/image_41.jpg
